unique_id,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,row_id,cluster_id,confidence_score
INV-36915500001,2021-05-25,2618,Hy-Vee Drugstore #6 / Cedar Rapids,505 Boyson Rd NE,Cedar Rapids,52402,POINT (-91.63913 42.04671),57,LINN,1062400,Spiced Rum,260,DIAGEO AMERICAS,1799,Captain Morgan Original Spiced Barrel,6,1750,18,27,6,162,10.5,2.77,INV-36915500001,299,0.81
INV-43173200219,2021-12-22,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658111 42.010962),57,LINN,1062500,Flavored Rum,255,Infinium Spirits,44159,Zaya Rum Cocobana,6,750,13.98,20.97,2,41.94,1.5,0.39,INV-43173200219,0,0.81
INV-42137500069,2021-11-18,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.67969 42.031819),57,LINN,1081200,Cream Liqueurs,260,DIAGEO AMERICAS,74090,Godiva White Chocolate Liqueur,12,750,17,25.5,12,306,9,2.37,INV-42137500069,368,0.81
INV-40102500036,2021-09-15,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668919 42.034799),57,LINN,1071100,Cocktails /RTD,421,SAZERAC COMPANY  INC,57125,Chi-Chi's Gold Margarita,6,1750,5.75,8.63,6,58.5,10.5,2.77,INV-40102500036,255,0.81
INV-41445600129,2021-10-28,6233,Quick Stop / Cedar Rapids,1430 1st Ave NE,Cedar Rapids,52402,POINT (-91.652696 41.987875),57,LINN,1051100,American Brandies,434,LUXCO INC,54056,Arrow Apricot Brandy,12,750,5.5,8.25,1,8.25,0.75,0.19,INV-41445600129,1254,1.0
INV-35478600126,2021-03-31,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1032100,Imported Vodkas,370,PERNOD RICARD USA,34007,Absolut Swedish Vodka 80prf,12,1000,14.99,22.49,12,269.88,12,3.17,INV-35478600126,0,0.81
INV-34376700090,2021-02-17,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1012100,Canadian Whiskies,259,Heaven Hill Brands,11788,Black Velvet,6,1750,10.45,15.68,42,658.56,73.5,19.41,INV-34376700090,0,0.81
INV-35093700120,2021-03-17,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1032200,Imported Flavored Vodka,260,DIAGEO AMERICAS,64573,Ciroc Pineapple,12,750,16.49,24.74,2,49.48,1.5,0.39,INV-35093700120,0,0.81
INV-37943200005,2021-06-30,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,86884,Southern Comfort,24,375,4.78,7.17,2,14.34,0.75,0.19,INV-37943200005,0,0.81
INV-33665500005,2021-01-21,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.67969 42.031819),57,LINN,1081400,American Schnapps,380,Phillips Beverage,84617,Phillips Root Beer Schnapps,12,1000,5.5,8.25,24,198,24,6.34,INV-33665500005,368,0.81
INV-42317800109,2021-11-24,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,"",57,LINN,1012100,Canadian Whiskies,380,Phillips Beverage,14474,Revel Stoke Shellshocked Roasted Pecan,12,750,9.02,13.53,12,162.36,9,2.37,INV-42317800109,255,0.81
INV-42532100013,2021-12-02,5254,Discount Liquor,2933 1st Ave SE,Cedar Rapids,52402,POINT (-91.634855 42.006534),57,LINN,1031100,American Vodkas,434,LUXCO INC,36305,Hawkeye Vodka PET,12,750,3.34,5.01,12,60.12,9,2.37,INV-42532100013,1092,0.81
